MinMaxPlayer,RandomPlayer,positional,32
MinMaxPlayer,RandomPlayer,positional,34
MinMaxPlayer,RandomPlayer,positional,0
MinMaxPlayer,RandomPlayer,positional,22
MinMaxPlayer,RandomPlayer,positional,32
MinMaxPlayer,RandomPlayer,positional,24
MinMaxPlayer,RandomPlayer,positional,8
MinMaxPlayer,RandomPlayer,positional,32
MinMaxPlayer,RandomPlayer,positional,20
MinMaxPlayer,RandomPlayer,positional,52
MinMaxPlayer,RandomPlayer,positional,24
MinMaxPlayer,RandomPlayer,positional,22
MinMaxPlayer,RandomPlayer,positional,40
MinMaxPlayer,RandomPlayer,positional,26
MinMaxPlayer,RandomPlayer,positional,28
MinMaxPlayer,RandomPlayer,positional,18
MinMaxPlayer,RandomPlayer,positional,24
MinMaxPlayer,RandomPlayer,positional,24
MinMaxPlayer,RandomPlayer,positional,44
MinMaxPlayer,RandomPlayer,positional,34
MinMaxPlayer,RandomPlayer,positional,30
MinMaxPlayer,RandomPlayer,positional,8
MinMaxPlayer,RandomPlayer,positional,18
MinMaxPlayer,RandomPlayer,positional,24
MinMaxPlayer,RandomPlayer,positional,52
MinMaxPlayer,RandomPlayer,positional,16
MinMaxPlayer,RandomPlayer,positional,6
MinMaxPlayer,RandomPlayer,positional,32
MinMaxPlayer,RandomPlayer,positional,22
MinMaxPlayer,RandomPlayer,positional,56
MinMaxPlayer,RandomPlayer,positional,10
MinMaxPlayer,RandomPlayer,positional,24
MinMaxPlayer,RandomPlayer,positional,24
MinMaxPlayer,RandomPlayer,positional,18
MinMaxPlayer,RandomPlayer,positional,12
MinMaxPlayer,RandomPlayer,positional,20
MinMaxPlayer,RandomPlayer,positional,12
MinMaxPlayer,RandomPlayer,positional,28
MinMaxPlayer,RandomPlayer,positional,-4
MinMaxPlayer,RandomPlayer,positional,38
MinMaxPlayer,RandomPlayer,positional,32
MinMaxPlayer,RandomPlayer,positional,-6
MinMaxPlayer,RandomPlayer,positional,42
MinMaxPlayer,RandomPlayer,positional,26
MinMaxPlayer,RandomPlayer,positional,6
MinMaxPlayer,RandomPlayer,positional,34
MinMaxPlayer,RandomPlayer,positional,17
MinMaxPlayer,RandomPlayer,positional,24
MinMaxPlayer,RandomPlayer,positional,26
MinMaxPlayer,RandomPlayer,positional,30
MinMaxPlayer,RandomPlayer,positional,24
MinMaxPlayer,RandomPlayer,positional,30
MinMaxPlayer,RandomPlayer,positional,20
MinMaxPlayer,RandomPlayer,positional,46
MinMaxPlayer,RandomPlayer,positional,38
MinMaxPlayer,RandomPlayer,positional,18
MinMaxPlayer,RandomPlayer,positional,48
MinMaxPlayer,RandomPlayer,positional,36
MinMaxPlayer,RandomPlayer,positional,40
MinMaxPlayer,RandomPlayer,positional,22
MinMaxPlayer,RandomPlayer,positional,42
MinMaxPlayer,RandomPlayer,positional,28
MinMaxPlayer,RandomPlayer,positional,26
MinMaxPlayer,RandomPlayer,positional,29
MinMaxPlayer,RandomPlayer,positional,10
MinMaxPlayer,RandomPlayer,positional,38
MinMaxPlayer,RandomPlayer,positional,10
MinMaxPlayer,RandomPlayer,positional,24
MinMaxPlayer,RandomPlayer,positional,6
MinMaxPlayer,RandomPlayer,positional,16
MinMaxPlayer,RandomPlayer,positional,12
MinMaxPlayer,RandomPlayer,positional,18
MinMaxPlayer,RandomPlayer,positional,20
MinMaxPlayer,RandomPlayer,positional,24
MinMaxPlayer,RandomPlayer,positional,36
MinMaxPlayer,RandomPlayer,positional,0
MinMaxPlayer,RandomPlayer,positional,34
MinMaxPlayer,RandomPlayer,positional,14
MinMaxPlayer,RandomPlayer,positional,34
MinMaxPlayer,RandomPlayer,positional,8
